"Date","C.N","delta15n","delta13c","POC_ug.L","PN_ug.L","chl_20um","chl_GF.F","chl_3um","phaeo.chla","NO3","PO4","Si","SST","SSS","log10.N2","Rain2Day","WindSp2Day","WindDir2Day","Bacillariophyta","Chlorophyta","Ciliophora","Cryptophyta","Dinoflagellata"
2017-04-11,5.52897231686524,5.5722054115,-24.56167952,188.85306875,29.154320340625,0.4185628775,0.0570510995,0.1170158255,1.24055685551299,18.561307795,1.6911576345,24.877979985,8.3391,28.3442,-4.29938655444778,0,2.63220833333333,163.094791666667,131808,49000,5781,94500,11863
2017-04-24,5.92251270509531,8.3227685495,-20.593475595,552.20034845,105.3983241,3.3774802605,0.084509533,0.278716685,0.754886077287607,0.074556462,0.268955012,0.855287821,9.7622,27.4788,-3.58882935216454,0,1.8968125,158.701458333333,846188,40250,3024,52500,23614
2017-05-02,5.41314829200222,6.8487584335,-22.220554325,190.977596666667,32.62932344,0.2089356535,0.121708803,0.207482659,0.612820407911234,0.2492136845,0.329526886,1.5597300915,10.59535,27.0407,-3.32624296535131,1.4,1.4785,210.907104166667,10480,21980,4840,7000,12110
2017-05-08,4.65322872329469,5.5773158355,-23.374792435,213.1207342,36.92453632,0.108587827,0.112976684,0.1372467945,0.570002175689801,0.877166603,0.3346105095,2.2508529275,11.1663666666667,27.0223666666667,-3.21878746425499,0,1.63452083333333,204.108333333333,NA,NA,NA,NA,NA
2017-05-17,7.16087652621797,6.255374103,-22.97286543,324.682414153846,44.7953034461538,0.294099023,0.1619724115,0.1480075805,0.580522466403015,0.3800140505,0.2369092365,3.266824194,12.2095,25.88105,-3.18722178791282,23.6,2.9269375,200.6675,193362,63000,6269,46750,20147
2017-05-29,3.36847903610583,3.5461691965,-25.446062855,226.781323433333,27.02127978,0.249346381,0.9436069765,0.4121698355,0.42431375074218,6.3050180645,0.8623457295,29.05223376,11.7202,27.5874,-3.14462063883369,0,0.757916666666667,174.719583333333,360586,834658,4032,769956,2736
2017-06-05,5.98651385008663,6.8105286455,-21.120539645,301.205472482143,31.611920535119,0.5046819575,0.053184009,0.1644882555,0.920025047549081,0.06538395,0.080270037,1.5105657105,13.97085,24.8672,-2.87803983921971,0,1.8725,198.028541666667,633712,56880,2576,11350,32068
2017-06-19,3.91372059421578,5.784892644,-21.785052405,366.468069016667,32.4071825216667,1.3316726875,0.345838123,0.456887663,0.38621157990423,0.091346682,0.1274105575,12.52406744,14.94085,22.3779,-2.65736550328579,10,2.01575,165.572916666667,1936160,136590,9632,131880,45620
2017-06-29,4.11053415988094,4.450080912,-26.409809495,176.997771607143,46.7079814,0.3994329415,0.7430234035,0.2247795625,0.628175413393136,12.511763962,1.220221102,27.878314525,12.0224,26.9666,-3.1404427567008,0,4.30709090909091,272.665696969697,87728,48000,2581,381000,3538
2017-07-07,4.07624650622012,6.3048565815,-24.814869905,167.806792285714,46.5129251821429,0.04653379,0.376677144,0.1152194035,0.814872290327635,0.112336999,0.186680946,19.36867439,15.5841,26.2988,-3.03902905502806,0,1.077,199.601666666667,19240,36110,640,48670,5470
